uniprot_id,interaction_score
P31749,0.9526971578598022
P98088,0.9427412748336792
P01375,0.9415789842605592
P35222,0.934172749519348
P98088,0.9341450929641724
P98088,0.9300760626792908
P98088,0.9212996363639832
P0CG47,0.91880601644516
P0CG48,0.9174864292144777
Q9HC84,0.91371887922287
P98088,0.9116777777671814
P63261,0.9057114720344543
P60709,0.9047071933746338
Q8TC94,0.9037424325942992
P62736,0.9000647664070129
P63267,0.8982946872711182
Q15848,0.8981611728668213
P01106,0.8975575566291809
P68032,0.8974766135215759
P68133,0.8973355889320374
Q16665,0.8959580659866333
P98088,0.8955223560333252
P98088,0.8938929438591003
Q562R1,0.8937616348266602
P03372,0.8910998106002808
Q9BYX7,0.8884925246238708
Q9Y614,0.8883180022239685
P61586,0.8869490623474121
P42025,0.8716296553611755
Q9Y4K3,0.8716054558753967
Q9Y243,0.8697606325149536
P04406,0.8645120859146118
P05231,0.8642951250076294
P61163,0.8641526699066162
Q9BYD9,0.8589658141136169
P62745,0.8589006066322327
Q8TDY3,0.8545112609863281
Q8TDG2,0.8488403558731079
Q5T1H1,0.8481782674789429
Q9GZN1,0.8463166952133179
Q9Y615,0.8456855416297913
Q9HC84,0.8410000801086426
P10415,0.8401848673820496
P67775,0.8370288610458374
P98088,0.8349242210388184
P81133,0.8337770104408264
Q06124,0.8325843811035156
Q9Y6K9,0.8314942717552185
P61160,0.8303619623184204
P27986,0.8293596506118774
Q9H568,0.8189797401428223
Q14190,0.816847562789917
P61158,0.8150258660316467
Q9NQZ3,0.81166672706604
Q9HC84,0.8057135343551636
Q0Z7S8,0.7956504821777344
Q16048,0.7943316698074341
O75394,0.7941692471504211
P98088,0.7885986566543579
Q9UI72,0.7879443168640137
P25445,0.787726879119873
Q9HC84,0.786013662815094
Q8TAT8,0.7855756878852844
P07148,0.7847710251808167
Q8WXI7,0.7790175080299377
Q8WXI7,0.7786407470703125
Q02817,0.7762604355812073
O60669,0.768531858921051
Q6ZRI0,0.7646836042404175
Q9NPD3,0.7644206285476685
Q6ZRP5,0.7628399133682251
O43866,0.7603524327278137
A0AAG2UXD8,0.7578000426292419
Q9P1U1,0.7534220218658447
Q3LI62,0.7518449425697327
Q9BXR6,0.751166582107544
Q02505,0.7486386895179749
Q9BQD1,0.7450324296951294
Q8WXI7,0.7426681518554688
Q7Z3S9,0.7426314949989319
Q5T1H1,0.7417388558387756
P49720,0.7405045032501221
P98088,0.7403181791305542
Q9UHU1,0.7359022498130798
P16070,0.7346447110176086
Q9Y2N7,0.732149064540863
Q5T1H1,0.7311654686927795
Q9Y3A5,0.7303164601325989
Q6TDP4,0.7288167476654053
A0A6Q8PGS0,0.7284759879112244
Q9H7Z7,0.7283266186714172
O96019,0.7260391712188721
Q9H4E5,0.7215639352798462
A0A2R8Y4Y8,0.7203894853591919
Q9NVQ4,0.7185670137405396
Q96F15,0.7164138555526733
Q8N1Q1,0.7153561115264893
O94805,0.7141097784042358
O75973,0.7137333154678345
P00918,0.7123576998710632
O15540,0.7113362550735474
O14920,0.7112115621566772
Q99814,0.7107061147689819
Q9Y3I0,0.7094007730484009
Q02543,0.7073266506195068
Q99102,0.7066947221755981
P05230,0.7063739895820618
P12104,0.7040350437164307
Q8N807,0.6997208595275879
Q9UI54,0.699704110622406
Q08E93,0.6993415355682373
Q96L58,0.6978566646575928
Q99102,0.6978383660316467
Q7Z5P9,0.6977351903915405
A0A3B3IU63,0.6972096562385559
P05413,0.6966509222984314
P35218,0.694652259349823
P00441,0.6945626139640808
Q86SH4,0.691770613193512
A0A7I2V6D3,0.6916078925132751
Q7Z5P9,0.6914530992507935
Q9GZY1,0.6901636719703674
Q02817,0.6894233226776123
Q9H195,0.6888657808303833
Q86SG3,0.6886346936225891
Q86SX6,0.6881687045097351
Q6ZRX8,0.6872520446777344
A0N4X2,0.6867544651031494
P98088,0.6862726211547852
